Election_Date,Comune,Provincia,Regione,Circoscrizione
1987-06-14,APECCHIO,PESARO E URBINO,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,APICE,BENEVENTO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,APIRO,MACERATA,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,APOLLOSA,BENEVENTO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,APPIANO GENTILE,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,APPIANO SULLA STRADA DEL VINO,BOLZANO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,APPIGNANO,MACERATA,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,APPIGNANO DEL TRONTO,ASCOLI PICENO,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,APRICA,SONDRIO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,APRICALE,IMPERIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,APRICENA,FOGGIA,PUGLIA,BARI-FOGGIA
1987-06-14,APRIGLIANO,COSENZA,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,APRILIA,LATINA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,AQUARA,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,AQUILA DI ARROSCIA,IMPERIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,AQUILEIA,UDINE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,AQUILONIA,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,AQUINO,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARADEO,LECCE,PUGLIA,LECCE-BRINDISI-TARANTO
1987-06-14,ARAGONA,AGRIGENTO,SICILIA,PALERMO-TRAPANI-AGRIGENTO-CALTANISSETTA
1987-06-14,ARAMENGO,ASTI,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ARBA,PORDENONE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ARBOREA,ORISTANO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARBORIO,VERCELLI,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ARBUS,CAGLIARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARCADE,TREVISO,VENETO,VENEZIA-TREVISO
1987-06-14,ARCE,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARCENE,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ARCEVIA,ANCONA,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,ARCHI,CHIETI,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ARCIDOSSO,GROSSETO,TOSCANA,SIENA-AREZZO-GROSSETO
1987-06-14,ARCINAZZO ROMANO,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARCISATE,VARESE,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ARCO,TRENTO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,ARCOLA,LA SPEZIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,ARCOLE,VERONA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARCONATE,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ARCORE,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ARCUGNANO,VICENZA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARDARA,SASSARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARDAULI,ORISTANO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARDEA,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARDENNO,SONDRIO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ARDESIO,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ARDORE,REGGIO CALABRIA,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,ARENA,CATANZARO,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,ARENA PO,PAVIA,LOMBARDIA,MILANO-PAVIA
1987-06-14,ARENZANO,GENOVA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,ARESE,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,AREZZO,AREZZO,TOSCANA,SIENA-AREZZO-GROSSETO
1987-06-14,ARGEGNO,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ARGELATO,BOLOGNA,EMILIA ROMAGNA,BOLOGNA-FERRARA-RAVENNA-FORLI'
1987-06-14,ARGENTA,FERRARA,EMILIA ROMAGNA,BOLOGNA-FERRARA-RAVENNA-FORLI'
1987-06-14,ARGENTERA,CUNEO,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ARGUELLO,CUNEO,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ARGUSTO,CATANZARO,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,ARI,CHIETI,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ARIANO IRPINO,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ARIANO NEL POLESINE,ROVIGO,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARICCIA,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARIELLI,CHIETI,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ARIENZO,CASERTA,CAMPANIA,NAPOLI-CASERTA
1987-06-14,ARIGNANO,TORINO,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ARITZO,NUORO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
