Election_Date,Regione,Collegio,Provincia,Comune,Voti_lista,Lista
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,74,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,246,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,61,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,339,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,517,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,107,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROBILANTE,13,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,16,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,141,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,40,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,94,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,389,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,29,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCABRUNA,1,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,3,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,130,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,12,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,50,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,172,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,19,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCASPARVERA,3,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,17,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,359,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,89,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,194,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,593,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,102,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROCCAVIONE,32,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,3,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,200,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,26,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,41,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,443,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,29,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROSSANA,3,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,250,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,1840,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,1528,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,1375,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,4661,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,660,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SALUZZO,322,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,1,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,35,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,13,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,14,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,41,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,5,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMBUCO,0,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,18,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,143,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,85,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,37,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,746,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,51,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAMPEYRE,6,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,10,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,149,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,70,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,56,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,320,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,54,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SAN DAMIANO MACRA,8,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,14,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,300,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,320,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,116,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,674,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,139,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,SANFRONT,10,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,3,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,63,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,35,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,15,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,72,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,7,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,STROPPO,3,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,66,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,216,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,22,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,120,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,318,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,30,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALDIERI,38,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALGRANA,5,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALGRANA,93,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALGRANA,67,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALGRANA,97,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,VALGRANA,317,DC
1972-05-07,VENETO,ROVIGO,NA,SAN BELLINO,446,DC
1972-05-07,VENETO,ROVIGO,NA,STIENTA,1160,PCI-PSIUP
1972-05-07,VENETO,ROVIGO,NA,STIENTA,61,PSDI
1972-05-07,VENETO,ROVIGO,NA,STIENTA,27,PLI
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,26,PLI
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,1860,PCI-PSIUP
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,268,MSI
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,1464,DC
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,170,PSI
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,9,PRI
1972-05-07,CALABRIA,COSENZA,NA,BISIGNANO,24,PSDI
1972-05-07,LOMBARDIA,CHIARI,NA,MACLODIO,32,MSI
1972-05-07,LOMBARDIA,CHIARI,NA,MACLODIO,9,PSDI
1972-05-07,LOMBARDIA,CHIARI,NA,MACLODIO,4,PRI
1972-05-07,LOMBARDIA,CHIARI,NA,MAIRANO,271,PCI-PSIUP
1972-05-07,VENETO,ROVIGO,NA,BERGANTINO,100,MSI
1972-05-07,VENETO,ROVIGO,NA,BERGANTINO,309,PSI
1972-05-07,VENETO,ROVIGO,NA,BERGANTINO,716,DC
1972-05-07,VENETO,ROVIGO,NA,BOSARO,167,PCI-PSIUP
1972-05-07,VENETO,ROVIGO,NA,BOSARO,56,PSDI
1972-05-07,VENETO,ROVIGO,NA,BOSARO,8,PLI
1972-05-07,VENETO,ROVIGO,NA,BOSARO,4,PRI
1972-05-07,VENETO,ROVIGO,NA,BOSARO,63,MSI
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,16,PLI
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,117,MSI
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,51,PRI
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,331,PCI-PSIUP
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,53,PSI
1972-05-07,MARCHE,FERMO,NA,TORRE SAN PATRIZIO,591,DC
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,357,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,2527,DC
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,695,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,830,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,436,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,49,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,ALBEROBELLO,78,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,183,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,3698,DC
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,1654,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,1070,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,746,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,51,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,CASTELLANA GROTTE,240,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,281,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,3019,DC
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,2172,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,2851,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,1047,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,399,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,CONVERSANO,102,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,72,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,2121,DC
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,555,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,177,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,453,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,19,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,LOCOROTONDO,2991,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,271,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,5332,DC
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,1858,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,1320,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,1408,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,196,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,MOLA DI BARI,193,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,719,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,7590,DC
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,2232,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,5005,PSI
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,2156,MSI
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,1210,PRI
1972-05-07,PUGLIA,MONOPOLI,NA,MONOPOLI,623,PLI
1972-05-07,PUGLIA,MONOPOLI,NA,NOCI,952,PSDI
1972-05-07,PUGLIA,MONOPOLI,NA,NOCI,3410,DC
1972-05-07,PUGLIA,MONOPOLI,NA,NOCI,1858,PCI-PSIUP
1972-05-07,PUGLIA,MONOPOLI,NA,NOCI,1096,PSI
